id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
Garanzia Giovani,Garanzia Giovani,2025-02-04,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-10,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-11,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-12,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-13,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-14,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-17,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-19,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-20,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-21,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-24,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-25,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-26,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-27,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-02-28,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-01,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-03,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-04,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-06,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-08,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-09,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Garanzia Giovani,Garanzia Giovani,2025-03-11,08:00,11:00,Lecce,20.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-01-29,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-01,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-03,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-04,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-05,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
5064 GOL,5064 GOL,2025-02-26,14:30,20:30,Lecce,30.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-06,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-08,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-09,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-11,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-12,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-13,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-18,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-19,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-20,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-21,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-22,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-23,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-25,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-26,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-27,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-28,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-29,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-11-30,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-02,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-03,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-04,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-05,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-07,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-09,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-10,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Patente europea 3355,Patente europea 3355,2024-12-11,08:00,14:00,Lecce,20.0,Completato,0,,forumlab
Informatica Collepasso,Informatica Collepasso,2025-03-10,15:30,18:30,Collepasso,30.0,Completato,1,2025-04,dedalos
Informatica Collepasso,Informatica Collepasso,2025-03-17,15:30,18:30,Collepasso,30.0,Completato,1,2025-04,dedalos
Informatica Collepasso,Informatica Collepasso,2025-03-24,15:30,18:30,Collepasso,30.0,Completato,1,2025-04,dedalos
Informatica Collepasso,Informatica Collepasso,2025-03-31,15:30,18:30,Collepasso,30.0,Completato,1,2025-04,dedalos
Informatica Collepasso,Informatica Collepasso,2025-04-07,15:30,18:30,Collepasso,30.0,Completato,0,,dedalos
Informatica Collepasso,Informatica Collepasso,2025-04-14,15:30,18:30,Collepasso,30.0,Completato,0,,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-03-12,15:30,18:30,Tuglie,30.0,Completato,1,2025-04,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-03-19,15:30,18:30,Tuglie,30.0,Completato,1,2025-04,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-03-26,15:30,18:30,Tuglie,30.0,Completato,1,2025-04,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-04-02,15:30,18:30,Tuglie,30.0,Completato,0,,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-04-09,15:30,18:30,Tuglie,30.0,Completato,0,,dedalos
Informatica TUGLIE 5a 5b,Informatica TUGLIE 5a 5b,2025-03-05,15:30,18:30,Tuglie,30.0,Completato,1,2025-04,dedalos
GOL 4249,Gol 4249,2025-03-14,08:30,13:30,Lecce,30.0,Completato,0,,forumlab
GOL 4249,Gol 4249,2025-03-17,08:30,13:30,Lecce,30.0,Completato,0,,forumlab
GOL 4249,Gol 4249,2025-03-19,08:30,13:30,Lecce,30.0,Completato,0,,forumlab
GOL 4249,Gol 4249,2025-03-21,08:30,13:30,Lecce,30.0,Completato,0,,forumlab
GOL sezione 3,GOL sezione 3,2025-04-03,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
GOL sezione 3,GOL sezione 3,2025-04-04,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
GOL sezione 3,GOL sezione 3,2025-04-05,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
GOL sezione 3,GOL sezione 3,2025-04-12,08:00,14:00,Lecce,30.0,Completato,0,,forumlab
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-03-13,10:10,12:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-03-25,08:10,11:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-03-27,08:10,11:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-08,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-09,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-10,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-14,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-28,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-29,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-30,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-05-05,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-12,08:10,13:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-13,08:10,10:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-25,11:10,12:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-03-27,11:10,12:10,Parabita,30.0,Completato,1,2025-04,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-08,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-09,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-10,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-14,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-28,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-29,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-30,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-05-05,11:10,12:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-04-23,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUARTE 2,IC PARABITA - PRIMARIA QUARTE 2,2025-05-12,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-04-24,08:10,11:10,Parabita,30.0,Completato,0,,dedalos
IC PARABITA - PRIMARIA QUINTE 2,IC PARABITA - PRIMARIA QUINTE 2,2025-05-13,09:10,12:10,Parabita,30.0,Completato,0,,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2024-12-12,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2024-12-12,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2024-12-12,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2024/12,dedalos
